strategy_id,win_rate,total_return,sharpe_ratio,max_drawdown,num_trades
strategy_024,0.47368421052631576,-0.06240549464435405,-1.3220690539449491,0.06396143997354178,399
strategy_076,0.4724770642201835,-0.04090170119881857,-0.815684996061218,0.052750992972624464,436
strategy_075,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_083,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_015,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_019,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_087,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_079,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_011,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_091,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_007,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_095,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_003,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_023,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_099,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_047,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_059,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_051,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_043,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_055,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_039,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_027,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_035,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_063,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_031,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_067,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_071,0.47107438016528924,-0.02021587332286411,-0.9593914849038682,0.029945145040809657,242
strategy_048,0.4707379134860051,-0.028551456164633233,-0.6616738721879456,0.03608305746702096,393
strategy_060,0.46984924623115576,-0.034493558547008925,-0.7284801139166129,0.05287540971082405,398
strategy_040,0.4692874692874693,-0.04368923276757972,-0.9160987815054039,0.053666220819600194,407
strategy_005,0.4675324675324675,-0.04251413089295393,-0.9300800233461813,0.05989079805648756,385
strategy_064,0.4673913043478261,-0.005086347672317869,-0.12192765579918793,0.02702123182368798,368
strategy_013,0.46547314578005117,-0.039801178948215166,-0.8749424569272501,0.051655640584616275,391
strategy_004,0.4652777777777778,-0.014123065392361451,-0.2979665601406512,0.04411404659256773,432
strategy_080,0.46272493573264784,-0.04979671618808668,-1.0997508280328057,0.05133074959369369,389
strategy_052,0.46265060240963857,-0.04086918948109977,-0.8512386285835761,0.05407961907488451,415
strategy_012,0.4552238805970149,-0.062215599406313306,-1.3449012607593405,0.063790795014011,402
strategy_084,0.4486486486486487,-0.08365822728211707,-2.0144428829565837,0.0831591703169064,370
strategy_096,0.4472361809045226,-0.06665431678605799,-1.5633245281206907,0.07156175283675045,398
